collection,judge,budget_full_eq,eps,method,act,wrong,docs_labelled,var_est
cast19,llm,30,0.01,weighted_cv,0.04666666666666667,0.0,710.9883333333333,0.04113261913696445
cast19,llm,30,0.01,ai_calib,0.013333333333333334,0.0,710.3766666666667,0.058047470228627336
cast19,llm,30,0.01,ai_resid,0.04,0.0,710.3183333333334,0.04070565360691597
cast19,llm,30,0.01,ai_robust_0.5,0.03666666666666667,0.0,709.895,0.04055415348000531
cast19,llm,30,0.01,ai_robust_0.3,0.03333333333333333,0.0,710.8766666666667,0.039968721624614977
cast19,llm,30,0.02,weighted_cv,0.07666666666666666,0.0,727.975,0.04144826411878298
cast19,llm,30,0.02,ai_calib,0.056666666666666664,0.0,729.0983333333334,0.05988521245321355
cast19,llm,30,0.02,ai_resid,0.08,0.0,728.35,0.0408467786828199
cast19,llm,30,0.02,ai_robust_0.5,0.09333333333333334,0.0,729.49,0.040937691996208676
cast19,llm,30,0.02,ai_robust_0.3,0.06333333333333334,0.0,728.5833333333334,0.04106687109969372
cast19,llm,45,0.01,weighted_cv,0.13333333333333333,0.0,1058.8633333333332,0.033514109380857374
cast19,llm,45,0.01,ai_calib,0.07666666666666666,0.0,1057.24,0.04626371200484477
cast19,llm,45,0.01,ai_resid,0.09333333333333334,0.0,1057.3866666666668,0.03304096038444259
cast19,llm,45,0.01,ai_robust_0.5,0.09,0.0,1057.5416666666667,0.033310148500439445
cast19,llm,45,0.01,ai_robust_0.3,0.09666666666666666,0.0,1057.455,0.03278729891008663
cast19,llm,45,0.02,weighted_cv,0.24,0.0,1077.9083333333333,0.03306365370381732
cast19,llm,45,0.02,ai_calib,0.15,0.0,1076.115,0.046502168970132825
cast19,llm,45,0.02,ai_resid,0.22666666666666666,0.0,1075.7966666666666,0.032825534706125835
cast19,llm,45,0.02,ai_robust_0.5,0.18333333333333332,0.0,1076.535,0.03294051857098625
cast19,llm,45,0.02,ai_robust_0.3,0.23666666666666666,0.0,1075.8583333333333,0.032390774254940864
cast19,llm,60,0.01,weighted_cv,0.15333333333333332,0.0,1470.7783333333334,0.023801631537281032
cast19,llm,60,0.01,ai_calib,0.09666666666666666,0.0,1471.9116666666666,0.028936652966286176
cast19,llm,60,0.01,ai_resid,0.16333333333333333,0.0,1470.98,0.023522655421672506
cast19,llm,60,0.01,ai_robust_0.5,0.13,0.0,1472.09,0.02354146650026399
cast19,llm,60,0.01,ai_robust_0.3,0.12,0.0,1472.8016666666667,0.02364890116126537
cast19,llm,60,0.02,weighted_cv,0.3466666666666667,0.0,1436.555,0.023902835526590865
cast19,llm,60,0.02,ai_calib,0.24333333333333335,0.0,1437.14,0.02900749893351513
cast19,llm,60,0.02,ai_resid,0.3,0.0,1435.7866666666666,0.023382205790821613
cast19,llm,60,0.02,ai_robust_0.5,0.3433333333333333,0.0,1436.615,0.023276223461849627
cast19,llm,60,0.02,ai_robust_0.3,0.29333333333333333,0.0,1437.275,0.023024869653546293
cast19,llm,90,0.01,weighted_cv,0.19666666666666666,0.0,2131.2833333333333,0.01660953385573093
cast19,llm,90,0.01,ai_calib,0.20333333333333334,0.0,2129.713333333333,0.01738389729955744
cast19,llm,90,0.01,ai_resid,0.23,0.0,2132.225,0.016463190401259948
cast19,llm,90,0.01,ai_robust_0.5,0.22333333333333333,0.0,2130.8166666666666,0.01655654422352094
cast19,llm,90,0.01,ai_robust_0.3,0.21333333333333335,0.0,2130.6566666666668,0.016525106809390195
cast19,llm,90,0.02,weighted_cv,0.41,0.0,2101.403333333333,0.016092874701121678
cast19,llm,90,0.02,ai_calib,0.38666666666666666,0.0,2100.4933333333333,0.016790175760178685
cast19,llm,90,0.02,ai_resid,0.43333333333333335,0.0,2102.4183333333335,0.016008874072978175
cast19,llm,90,0.02,ai_robust_0.5,0.42,0.0,2101.483333333333,0.01594683077306096
cast19,llm,90,0.02,ai_robust_0.3,0.4,0.0,2102.5633333333335,0.016087305732171795
