collection,judge,nA,budget_docs,eps,method,act,wrong
dbpedia-entity,llm,30,941.2781954887218,0.005,human_full,0.085,0.005
dbpedia-entity,llm,30,941.2781954887218,0.005,judge_ppi,0.06,0.0
dbpedia-entity,llm,30,941.2781954887218,0.005,hybrid_0.5,0.02,0.0
dbpedia-entity,llm,30,941.2781954887218,0.005,hybrid_0.7,0.05,0.0
dbpedia-entity,llm,30,941.2781954887218,0.005,hybrid_0.85,0.055,0.005
dbpedia-entity,llm,30,941.2781954887218,0.01,human_full,0.115,0.005
dbpedia-entity,llm,30,941.2781954887218,0.01,judge_ppi,0.135,0.005
dbpedia-entity,llm,30,941.2781954887218,0.01,hybrid_0.5,0.045,0.0
dbpedia-entity,llm,30,941.2781954887218,0.01,hybrid_0.7,0.095,0.0
dbpedia-entity,llm,30,941.2781954887218,0.01,hybrid_0.85,0.11,0.0
dbpedia-entity,llm,30,941.2781954887218,0.02,human_full,0.185,0.005
dbpedia-entity,llm,30,941.2781954887218,0.02,judge_ppi,0.25,0.005
dbpedia-entity,llm,30,941.2781954887218,0.02,hybrid_0.5,0.105,0.0
dbpedia-entity,llm,30,941.2781954887218,0.02,hybrid_0.7,0.125,0.0
dbpedia-entity,llm,30,941.2781954887218,0.02,hybrid_0.85,0.175,0.0
dbpedia-entity,llm,60,1882.5563909774437,0.005,human_full,0.095,0.005
dbpedia-entity,llm,60,1882.5563909774437,0.005,judge_ppi,0.15,0.01
dbpedia-entity,llm,60,1882.5563909774437,0.005,hybrid_0.5,0.095,0.005
dbpedia-entity,llm,60,1882.5563909774437,0.005,hybrid_0.7,0.155,0.0
dbpedia-entity,llm,60,1882.5563909774437,0.005,hybrid_0.85,0.16,0.0
dbpedia-entity,llm,60,1882.5563909774437,0.01,human_full,0.16,0.01
dbpedia-entity,llm,60,1882.5563909774437,0.01,judge_ppi,0.245,0.015
dbpedia-entity,llm,60,1882.5563909774437,0.01,hybrid_0.5,0.14,0.005
dbpedia-entity,llm,60,1882.5563909774437,0.01,hybrid_0.7,0.16,0.005
dbpedia-entity,llm,60,1882.5563909774437,0.01,hybrid_0.85,0.18,0.005
dbpedia-entity,llm,60,1882.5563909774437,0.02,human_full,0.375,0.005
dbpedia-entity,llm,60,1882.5563909774437,0.02,judge_ppi,0.44,0.005
dbpedia-entity,llm,60,1882.5563909774437,0.02,hybrid_0.5,0.26,0.0
dbpedia-entity,llm,60,1882.5563909774437,0.02,hybrid_0.7,0.31,0.005
dbpedia-entity,llm,60,1882.5563909774437,0.02,hybrid_0.85,0.33,0.0
dbpedia-entity,llm,90,2823.8345864661655,0.005,human_full,0.135,0.0
dbpedia-entity,llm,90,2823.8345864661655,0.005,judge_ppi,0.225,0.0
dbpedia-entity,llm,90,2823.8345864661655,0.005,hybrid_0.5,0.165,0.0
dbpedia-entity,llm,90,2823.8345864661655,0.005,hybrid_0.7,0.225,0.0
dbpedia-entity,llm,90,2823.8345864661655,0.005,hybrid_0.85,0.2,0.0
dbpedia-entity,llm,90,2823.8345864661655,0.01,human_full,0.255,0.0
dbpedia-entity,llm,90,2823.8345864661655,0.01,judge_ppi,0.35,0.005
dbpedia-entity,llm,90,2823.8345864661655,0.01,hybrid_0.5,0.25,0.0
dbpedia-entity,llm,90,2823.8345864661655,0.01,hybrid_0.7,0.225,0.0
dbpedia-entity,llm,90,2823.8345864661655,0.01,hybrid_0.85,0.265,0.005
dbpedia-entity,llm,90,2823.8345864661655,0.02,human_full,0.43,0.01
dbpedia-entity,llm,90,2823.8345864661655,0.02,judge_ppi,0.58,0.0
dbpedia-entity,llm,90,2823.8345864661655,0.02,hybrid_0.5,0.405,0.0
dbpedia-entity,llm,90,2823.8345864661655,0.02,hybrid_0.7,0.45,0.0
dbpedia-entity,llm,90,2823.8345864661655,0.02,hybrid_0.85,0.415,0.0
