collection,repeat_id,decision,final_T,final_B_pool,k_requested,selected_policy,reference_policy,loss,success,param_error,seed
trec-covid,0,recalibration,5,466,5,ad_probe,ad_c(full_target_scalar_reference),0.007990057378939916,False,90.58444379244219,2000032
trec-covid,0,selection,5,466,5,ad_probe,best_in_menu_on_eval,0.0,True,,2000032
trec-covid,1,recalibration,5,449,5,ad_probe,ad_c(full_target_scalar_reference),0.005682703486303453,False,67.96028920734346,2001032
trec-covid,1,selection,5,449,5,ad_probe,best_in_menu_on_eval,0.0,True,,2001032
trec-covid,2,recalibration,5,481,5,ad_probe,ad_c(full_target_scalar_reference),0.0044233553340004145,True,46.78750610312363,2002032
trec-covid,2,selection,5,481,5,ad_probe,best_in_menu_on_eval,0.0,True,,2002032
trec-covid,3,recalibration,5,392,5,ad_probe,ad_c(full_target_scalar_reference),0.004793631553589736,True,58.93261963858998,2003032
trec-covid,3,selection,5,392,5,ad_probe,best_in_menu_on_eval,0.0,True,,2003032
trec-covid,4,recalibration,5,500,5,ad_probe,ad_c(full_target_scalar_reference),0.0017981268104239334,True,19.07601722542472,2004032
trec-covid,4,selection,5,500,5,ad_probe,best_in_menu_on_eval,0.0,True,,2004032
trec-covid,5,recalibration,5,456,5,ad_probe,ad_c(full_target_scalar_reference),0.0034761479168995274,True,35.812768091559434,2005032
trec-covid,5,selection,5,456,5,ad_probe,best_in_menu_on_eval,0.0,True,,2005032
trec-covid,6,recalibration,5,463,5,ad_probe,ad_c(full_target_scalar_reference),0.004240448611957451,True,47.33116672023982,2006032
trec-covid,6,selection,5,463,5,ad_probe,best_in_menu_on_eval,0.0,True,,2006032
trec-covid,7,recalibration,5,458,5,ad_probe,ad_c(full_target_scalar_reference),0.005209824482859449,False,58.93261963858998,2007032
trec-covid,7,selection,5,458,5,ad_probe,best_in_menu_on_eval,0.0,True,,2007032
trec-covid,8,recalibration,5,434,5,ad_probe,ad_c(full_target_scalar_reference),0.008258187649185053,False,89.55941982348088,2008032
trec-covid,8,selection,5,434,5,ad_probe,best_in_menu_on_eval,0.0,True,,2008032
trec-covid,9,recalibration,5,441,5,ad_probe,ad_c(full_target_scalar_reference),0.006142631610764976,False,69.46719569701696,2009032
trec-covid,9,selection,5,441,5,ad_probe,best_in_menu_on_eval,0.0,True,,2009032
trec-covid,10,recalibration,5,455,5,ad_probe,ad_c(full_target_scalar_reference),0.004937792755904127,True,58.93261963858998,2010032
trec-covid,10,selection,5,455,5,ad_probe,best_in_menu_on_eval,0.0,True,,2010032
trec-covid,11,recalibration,5,430,5,ad_probe,ad_c(full_target_scalar_reference),0.00740057067406362,False,78.23984019904788,2011032
trec-covid,11,selection,5,430,5,ad_probe,best_in_menu_on_eval,0.0,True,,2011032
trec-covid,12,recalibration,5,430,5,ad_probe,ad_c(full_target_scalar_reference),0.00607896985228297,False,64.53848907186833,2012032
trec-covid,12,selection,5,430,5,ad_probe,best_in_menu_on_eval,0.0,True,,2012032
trec-covid,13,recalibration,5,427,5,ad_probe,ad_c(full_target_scalar_reference),0.01155674150067898,False,101.46301828897123,2013032
trec-covid,13,selection,5,427,5,ad_probe,best_in_menu_on_eval,0.0,True,,2013032
trec-covid,14,recalibration,5,437,5,ad_probe,ad_c(full_target_scalar_reference),0.0007926849871907893,True,4.007434251607947,2014032
trec-covid,14,selection,5,437,5,ad_probe,best_in_menu_on_eval,0.0,True,,2014032
trec-covid,15,recalibration,5,443,5,ad_probe,ad_c(full_target_scalar_reference),0.00410421484673501,True,40.156745059161835,2015032
trec-covid,15,selection,5,443,5,ad_probe,best_in_menu_on_eval,0.0,True,,2015032
trec-covid,16,recalibration,5,427,5,ad_probe,ad_c(full_target_scalar_reference),0.02706115426497338,False,177.24403127620403,2016032
trec-covid,16,selection,5,427,5,ad_probe,best_in_menu_on_eval,0.0,True,,2016032
trec-covid,17,recalibration,5,443,5,ad_probe,ad_c(full_target_scalar_reference),0.00620020520380446,False,64.53848907186833,2017032
trec-covid,17,selection,5,443,5,ad_probe,best_in_menu_on_eval,0.0,True,,2017032
trec-covid,18,recalibration,5,452,5,ad_probe,ad_c(full_target_scalar_reference),0.0005218414417106909,True,2.490381342264243,2018032
trec-covid,18,selection,5,452,5,ad_probe,best_in_menu_on_eval,0.0,True,,2018032
trec-covid,19,recalibration,5,469,5,ad_probe,ad_c(full_target_scalar_reference),0.006086943406506909,False,64.53848907186833,2019032
trec-covid,19,selection,5,469,5,ad_probe,best_in_menu_on_eval,0.0,True,,2019032
trec-covid,20,recalibration,5,414,5,ad_probe,ad_c(full_target_scalar_reference),0.007937481038096925,False,89.55941982348088,2020032
trec-covid,20,selection,5,414,5,ad_probe,best_in_menu_on_eval,0.0,True,,2020032
trec-covid,21,recalibration,5,478,5,ad_probe,ad_c(full_target_scalar_reference),0.006464027037914738,False,70.30915589806784,2021032
trec-covid,21,selection,5,478,5,ad_probe,best_in_menu_on_eval,0.0,True,,2021032
trec-covid,22,recalibration,5,481,5,ad_probe,ad_c(full_target_scalar_reference),0.001910674747031188,True,19.07601722542472,2022032
trec-covid,22,selection,5,481,5,ad_probe,best_in_menu_on_eval,0.0,True,,2022032
trec-covid,23,recalibration,5,451,5,ad_probe,ad_c(full_target_scalar_reference),0.004703318877233811,True,51.433867816491954,2023032
trec-covid,23,selection,5,451,5,ad_probe,best_in_menu_on_eval,0.0,True,,2023032
