collection,repeat_id,decision,final_T,final_B_pool,k_requested,selected_policy,reference_policy,loss,success,param_error,seed
trec-covid,0,recalibration,5,466,5,ad_probe,ad_c(full_target_scalar_reference),0.022711938203626936,False,90.58444379244219,2000032
trec-covid,0,selection,5,466,5,trunc,best_in_menu_on_eval,0.0,True,,2000032
trec-covid,1,recalibration,5,449,5,ad_probe,ad_c(full_target_scalar_reference),0.007562471299855877,False,67.96028920734346,2001032
trec-covid,1,selection,5,449,5,glob_probe,best_in_menu_on_eval,0.005201001176640907,True,,2001032
trec-covid,2,recalibration,5,481,5,ad_probe,ad_c(full_target_scalar_reference),0.008916332479586897,False,46.78750610312363,2002032
trec-covid,2,selection,5,481,5,trunc,best_in_menu_on_eval,0.0,True,,2002032
trec-covid,3,recalibration,5,392,5,ad_probe,ad_c(full_target_scalar_reference),0.006686268596123812,False,58.93261963858998,2003032
trec-covid,3,selection,5,392,5,glob_probe,best_in_menu_on_eval,0.0,True,,2003032
trec-covid,4,recalibration,5,500,5,ad_probe,ad_c(full_target_scalar_reference),0.00304249781452981,True,19.07601722542472,2004032
trec-covid,4,selection,5,500,5,glob_probe,best_in_menu_on_eval,0.01621090484469856,False,,2004032
trec-covid,5,recalibration,5,456,5,ad_probe,ad_c(full_target_scalar_reference),0.006114067213550456,False,35.812768091559434,2005032
trec-covid,5,selection,5,456,5,glob_probe,best_in_menu_on_eval,0.00024187875506920253,True,,2005032
trec-covid,6,recalibration,5,463,5,ad_probe,ad_c(full_target_scalar_reference),0.008765306655493021,False,47.33116672023982,2006032
trec-covid,6,selection,5,463,5,glob_probe,best_in_menu_on_eval,0.0,True,,2006032
trec-covid,7,recalibration,5,458,5,ad_probe,ad_c(full_target_scalar_reference),0.005873432824399116,False,58.93261963858998,2007032
trec-covid,7,selection,5,458,5,trunc,best_in_menu_on_eval,0.0,True,,2007032
trec-covid,8,recalibration,5,434,5,ad_probe,ad_c(full_target_scalar_reference),0.019593550813697735,False,89.55941982348088,2008032
trec-covid,8,selection,5,434,5,glob_probe,best_in_menu_on_eval,0.007663138568642758,True,,2008032
trec-covid,9,recalibration,5,441,5,ad_probe,ad_c(full_target_scalar_reference),0.00700592804668243,False,69.46719569701696,2009032
trec-covid,9,selection,5,441,5,glob_probe,best_in_menu_on_eval,0.0,True,,2009032
trec-covid,10,recalibration,5,455,5,ad_probe,ad_c(full_target_scalar_reference),0.006131835387227391,False,58.93261963858998,2010032
trec-covid,10,selection,5,455,5,glob_probe,best_in_menu_on_eval,0.0038197936655556264,True,,2010032
trec-covid,11,recalibration,5,430,5,ad_probe,ad_c(full_target_scalar_reference),0.017106566745378582,False,78.23984019904788,2011032
trec-covid,11,selection,5,430,5,glob_probe,best_in_menu_on_eval,0.10852548518405691,False,,2011032
trec-covid,12,recalibration,5,430,5,ad_probe,ad_c(full_target_scalar_reference),0.0146054120865996,False,64.53848907186833,2012032
trec-covid,12,selection,5,430,5,glob_probe,best_in_menu_on_eval,0.003484055763721461,True,,2012032
trec-covid,13,recalibration,5,427,5,ad_probe,ad_c(full_target_scalar_reference),0.019812919133115336,False,101.46301828897123,2013032
trec-covid,13,selection,5,427,5,trunc,best_in_menu_on_eval,0.0,True,,2013032
trec-covid,14,recalibration,5,437,5,ad_probe,ad_c(full_target_scalar_reference),0.00040944911506557435,True,4.007434251607947,2014032
trec-covid,14,selection,5,437,5,glob_probe,best_in_menu_on_eval,0.0,True,,2014032
trec-covid,15,recalibration,5,443,5,ad_probe,ad_c(full_target_scalar_reference),0.0031521582409637094,True,40.156745059161835,2015032
trec-covid,15,selection,5,443,5,glob_probe,best_in_menu_on_eval,0.08585598647933934,False,,2015032
trec-covid,16,recalibration,5,427,5,ad_probe,ad_c(full_target_scalar_reference),0.04302411009400309,False,177.24403127620403,2016032
trec-covid,16,selection,5,427,5,trunc,best_in_menu_on_eval,0.0,True,,2016032
trec-covid,17,recalibration,5,443,5,ad_probe,ad_c(full_target_scalar_reference),0.013271402600634086,False,64.53848907186833,2017032
trec-covid,17,selection,5,443,5,trunc,best_in_menu_on_eval,0.0,True,,2017032
trec-covid,18,recalibration,5,452,5,ad_probe,ad_c(full_target_scalar_reference),9.810274705790434e-05,True,2.490381342264243,2018032
trec-covid,18,selection,5,452,5,glob_probe,best_in_menu_on_eval,0.0,True,,2018032
trec-covid,19,recalibration,5,469,5,ad_probe,ad_c(full_target_scalar_reference),0.011860674289221662,False,64.53848907186833,2019032
trec-covid,19,selection,5,469,5,glob_probe,best_in_menu_on_eval,0.0010969543121376324,True,,2019032
trec-covid,20,recalibration,5,414,5,ad_probe,ad_c(full_target_scalar_reference),0.019849654611828083,False,89.55941982348088,2020032
trec-covid,20,selection,5,414,5,glob_probe,best_in_menu_on_eval,0.07781495183592246,False,,2020032
trec-covid,21,recalibration,5,478,5,ad_probe,ad_c(full_target_scalar_reference),0.007126798406674184,False,70.30915589806784,2021032
trec-covid,21,selection,5,478,5,glob_probe,best_in_menu_on_eval,0.09825935902396599,False,,2021032
trec-covid,22,recalibration,5,481,5,ad_probe,ad_c(full_target_scalar_reference),0.002677051066843683,True,19.07601722542472,2022032
trec-covid,22,selection,5,481,5,glob_probe,best_in_menu_on_eval,0.21930580055219956,False,,2022032
trec-covid,23,recalibration,5,451,5,ad_probe,ad_c(full_target_scalar_reference),0.009552537434329822,False,51.433867816491954,2023032
trec-covid,23,selection,5,451,5,trunc,best_in_menu_on_eval,0.0,True,,2023032
trec-covid,24,recalibration,5,477,5,ad_probe,ad_c(full_target_scalar_reference),0.014948568474216883,False,64.53848907186833,2024032
trec-covid,24,selection,5,477,5,trunc,best_in_menu_on_eval,0.0,True,,2024032
trec-covid,25,recalibration,5,437,5,ad_probe,ad_c(full_target_scalar_reference),0.021783423512557687,False,99.44776442587914,2025032
trec-covid,25,selection,5,437,5,glob_probe,best_in_menu_on_eval,0.0,True,,2025032
trec-covid,26,recalibration,5,463,5,ad_probe,ad_c(full_target_scalar_reference),0.015288518364160342,False,125.01781617374019,2026032
trec-covid,26,selection,5,463,5,trunc,best_in_menu_on_eval,0.0,True,,2026032
trec-covid,27,recalibration,5,400,5,ad_probe,ad_c(full_target_scalar_reference),0.0200870531679036,False,89.55941982348088,2027032
trec-covid,27,selection,5,400,5,glob_probe,best_in_menu_on_eval,0.0,True,,2027032
trec-covid,28,recalibration,5,453,5,ad_probe,ad_c(full_target_scalar_reference),0.013653432344245209,False,64.53848907186833,2028032
trec-covid,28,selection,5,453,5,trunc,best_in_menu_on_eval,0.0,True,,2028032
trec-covid,29,recalibration,5,495,5,ad_probe,ad_c(full_target_scalar_reference),0.003083571343419078,True,26.03325693549681,2029032
trec-covid,29,selection,5,495,5,trunc,best_in_menu_on_eval,0.007270731015767473,True,,2029032
trec-covid,30,recalibration,5,441,5,ad_probe,ad_c(full_target_scalar_reference),0.023066819229472735,False,111.16893438369246,2030032
trec-covid,30,selection,5,441,5,glob_probe,best_in_menu_on_eval,0.07934065562197368,False,,2030032
trec-covid,31,recalibration,5,424,5,ad_probe,ad_c(full_target_scalar_reference),0.014232193847820263,False,76.89183000158846,2031032
trec-covid,31,selection,5,424,5,glob_probe,best_in_menu_on_eval,0.0,True,,2031032
trec-covid,32,recalibration,5,446,5,ad_probe,ad_c(full_target_scalar_reference),0.0034246052238227076,True,19.07601722542472,2032032
trec-covid,32,selection,5,446,5,glob_probe,best_in_menu_on_eval,0.0,True,,2032032
trec-covid,33,recalibration,5,459,5,ad_probe,ad_c(full_target_scalar_reference),0.016895678949526483,False,78.23984019904788,2033032
trec-covid,33,selection,5,459,5,trunc,best_in_menu_on_eval,0.0,True,,2033032
trec-covid,34,recalibration,5,470,5,ad_probe,ad_c(full_target_scalar_reference),0.00923437259529658,False,78.4777126244175,2034032
trec-covid,34,selection,5,470,5,glob_probe,best_in_menu_on_eval,0.00832988666185741,True,,2034032
trec-covid,35,recalibration,5,478,5,ad_probe,ad_c(full_target_scalar_reference),0.007706805161584285,False,78.4777126244175,2035032
trec-covid,35,selection,5,478,5,trunc,best_in_menu_on_eval,0.0,True,,2035032
trec-covid,36,recalibration,5,420,5,ad_probe,ad_c(full_target_scalar_reference),0.0030866799793962674,True,40.156745059161835,2036032
trec-covid,36,selection,5,420,5,glob_probe,best_in_menu_on_eval,0.0025822033405178413,True,,2036032
trec-covid,37,recalibration,5,465,5,ad_probe,ad_c(full_target_scalar_reference),0.006820741356236892,False,51.608519899114754,2037032
trec-covid,37,selection,5,465,5,glob_probe,best_in_menu_on_eval,0.0890418204647081,False,,2037032
trec-covid,38,recalibration,5,481,5,ad_probe,ad_c(full_target_scalar_reference),0.01728058288978629,False,147.49048550850972,2038032
trec-covid,38,selection,5,481,5,trunc,best_in_menu_on_eval,0.0,True,,2038032
trec-covid,39,recalibration,5,448,5,ad_probe,ad_c(full_target_scalar_reference),0.00583004868359327,False,51.608519899114754,2039032
trec-covid,39,selection,5,448,5,trunc,best_in_menu_on_eval,0.0,True,,2039032
trec-covid,40,recalibration,5,488,5,ad_probe,ad_c(full_target_scalar_reference),0.0047462451150087626,True,49.54448109632597,2040032
trec-covid,40,selection,5,488,5,glob_probe,best_in_menu_on_eval,0.0,True,,2040032
trec-covid,41,recalibration,5,475,5,ad_probe,ad_c(full_target_scalar_reference),0.00046437027645340745,True,4.007434251607947,2041032
trec-covid,41,selection,5,475,5,trunc,best_in_menu_on_eval,0.0,True,,2041032
trec-covid,42,recalibration,5,449,5,ad_probe,ad_c(full_target_scalar_reference),0.0029175291140816073,True,19.07601722542472,2042032
trec-covid,42,selection,5,449,5,glob_probe,best_in_menu_on_eval,0.0031913842702908646,True,,2042032
trec-covid,43,recalibration,5,440,5,ad_probe,ad_c(full_target_scalar_reference),0.008534186171615277,False,81.49417566398523,2043032
trec-covid,43,selection,5,440,5,trunc,best_in_menu_on_eval,0.0,True,,2043032
trec-covid,44,recalibration,5,480,5,ad_probe,ad_c(full_target_scalar_reference),0.007668490300349107,False,58.93261963858998,2044032
trec-covid,44,selection,5,480,5,trunc,best_in_menu_on_eval,0.022315436942927036,False,,2044032
trec-covid,45,recalibration,5,463,5,ad_probe,ad_c(full_target_scalar_reference),0.008091802491533961,False,78.4777126244175,2045032
trec-covid,45,selection,5,463,5,glob_probe,best_in_menu_on_eval,0.09839048302321696,False,,2045032
trec-covid,46,recalibration,5,484,5,ad_probe,ad_c(full_target_scalar_reference),0.0031030255955304398,True,26.03325693549681,2046032
trec-covid,46,selection,5,484,5,glob_probe,best_in_menu_on_eval,0.006574643563956539,True,,2046032
trec-covid,47,recalibration,5,474,5,ad_probe,ad_c(full_target_scalar_reference),0.010387073629674948,False,91.3445756816509,2047032
trec-covid,47,selection,5,474,5,glob_probe,best_in_menu_on_eval,0.045450778562877825,False,,2047032
trec-covid,48,recalibration,5,451,5,ad_probe,ad_c(full_target_scalar_reference),0.01287476661649456,False,64.53848907186833,2048032
trec-covid,48,selection,5,451,5,trunc,best_in_menu_on_eval,0.003256585536092871,True,,2048032
trec-covid,49,recalibration,5,461,5,ad_probe,ad_c(full_target_scalar_reference),0.0003282978484552279,True,2.490381342264243,2049032
trec-covid,49,selection,5,461,5,glob_probe,best_in_menu_on_eval,0.10151939126291232,False,,2049032
trec-covid,0,recalibration,10,916,10,ad_probe,ad_c(full_target_scalar_reference),0.002684284036666762,True,16.92501153357682,901
trec-covid,0,selection,10,916,10,glob_probe,best_in_menu_on_eval,0.0,True,,901
trec-covid,1,recalibration,10,916,10,ad_probe,ad_c(full_target_scalar_reference),0.009823784973509109,False,73.21900091588049,1901
trec-covid,1,selection,10,916,10,trunc,best_in_menu_on_eval,0.0007980029047878201,True,,1901
trec-covid,2,recalibration,10,910,10,ad_probe,ad_c(full_target_scalar_reference),0.00021500048920286563,True,3.3153805219808987,2901
trec-covid,2,selection,10,910,10,trunc,best_in_menu_on_eval,0.0,True,,2901
trec-covid,3,recalibration,10,884,10,ad_probe,ad_c(full_target_scalar_reference),0.013352939776910766,False,68.59860711239904,3901
trec-covid,3,selection,10,884,10,glob_probe,best_in_menu_on_eval,0.0,True,,3901
trec-covid,4,recalibration,10,934,10,ad_probe,ad_c(full_target_scalar_reference),0.007274612988213636,False,68.70516613150374,4901
trec-covid,4,selection,10,934,10,glob_probe,best_in_menu_on_eval,0.11166223660167762,False,,4901
trec-covid,5,recalibration,10,896,10,ad_probe,ad_c(full_target_scalar_reference),0.002508942649342316,True,23.787486682904955,5901
trec-covid,5,selection,10,896,10,glob_probe,best_in_menu_on_eval,0.0,True,,5901
trec-covid,6,recalibration,10,990,10,ad_probe,ad_c(full_target_scalar_reference),0.005835763257950877,False,52.25548477995716,6901
trec-covid,6,selection,10,990,10,trunc,best_in_menu_on_eval,0.0,True,,6901
trec-covid,7,recalibration,10,933,10,ad_probe,ad_c(full_target_scalar_reference),0.0014430348304874663,True,10.78319928384451,7901
trec-covid,7,selection,10,933,10,glob_probe,best_in_menu_on_eval,0.0,True,,7901
trec-covid,8,recalibration,10,876,10,ad_probe,ad_c(full_target_scalar_reference),0.004356589393253452,True,27.444392658492063,8901
trec-covid,8,selection,10,876,10,glob_probe,best_in_menu_on_eval,0.022216025487579505,False,,8901
trec-covid,9,recalibration,10,911,10,ad_probe,ad_c(full_target_scalar_reference),0.017896721754741773,False,85.30880955078595,9901
trec-covid,9,selection,10,911,10,trunc,best_in_menu_on_eval,0.0,True,,9901
trec-covid,10,recalibration,10,866,10,ad_probe,ad_c(full_target_scalar_reference),0.0007525449703246201,True,8.29281794158021,10901
trec-covid,10,selection,10,866,10,trunc,best_in_menu_on_eval,0.0,True,,10901
trec-covid,11,recalibration,10,948,10,ad_probe,ad_c(full_target_scalar_reference),0.003881414220243351,True,24.910774031252032,11901
trec-covid,11,selection,10,948,10,glob_probe,best_in_menu_on_eval,0.0,True,,11901
trec-covid,12,recalibration,10,980,10,ad_probe,ad_c(full_target_scalar_reference),0.0003984033687572941,True,3.3153805219808987,12901
trec-covid,12,selection,10,980,10,trunc,best_in_menu_on_eval,0.0,True,,12901
trec-covid,13,recalibration,10,888,10,ad_probe,ad_c(full_target_scalar_reference),0.0022199696998826957,True,14.261819138880526,13901
trec-covid,13,selection,10,888,10,trunc,best_in_menu_on_eval,0.0,True,,13901
trec-covid,14,recalibration,10,880,10,ad_probe,ad_c(full_target_scalar_reference),0.010085909698477336,False,57.986178444180155,14901
trec-covid,14,selection,10,880,10,glob_probe,best_in_menu_on_eval,0.0,True,,14901
trec-covid,15,recalibration,10,939,10,ad_probe,ad_c(full_target_scalar_reference),0.0027914703191471713,True,28.09904196654651,15901
trec-covid,15,selection,10,939,10,glob_probe,best_in_menu_on_eval,0.124227352576329,False,,15901
trec-covid,16,recalibration,10,866,10,ad_probe,ad_c(full_target_scalar_reference),0.0007913306133516818,True,8.29281794158021,16901
trec-covid,16,selection,10,866,10,trunc,best_in_menu_on_eval,0.007217394187557402,True,,16901
trec-covid,17,recalibration,10,901,10,ad_probe,ad_c(full_target_scalar_reference),0.011024006029072608,False,86.41937567281809,17901
