collection,judge,pair,n0,n_queries,rho,true_gain,p_use_judge,cover_gain_lcb,med_T_ratio,med_T_human,med_T_ppi
webis-touche2020,llm,glob_probe_vs_trunc,20,49,0.7734084902378262,2.4885569480451393,0.8466666666666667,0.9233333333333333,2.4033099893235526,90.86666488499797,247.7353986895038
webis-touche2020,llm,glob_probe_vs_trunc,30,49,0.7734084902378262,2.4885569480451393,0.96,0.9666666666666667,2.944734443389277,95.37226858659525,301.4659628643203
webis-touche2020,llm,glob_probe_vs_ad_probe,20,49,0.4276806401343798,1.2238564825770009,0.2633333333333333,0.82,1.3970578023611222,70.3005006028126,98.4257127676496
webis-touche2020,llm,glob_probe_vs_ad_probe,30,49,0.4276806401343798,1.2238564825770009,0.18666666666666668,0.9033333333333333,1.441180461704949,73.17680731690301,105.5430334691356
webis-touche2020,llm,trunc_vs_ad_probe,20,49,0.8435523152063422,3.4671720512525046,0.98,0.8966666666666666,1.951074472030337,71.85785056903983,132.98680059836607
webis-touche2020,llm,trunc_vs_ad_probe,30,49,0.8435523152063422,3.4671720512525046,1.0,0.9333333333333333,2.1535879183732436,69.06389827964536,175.97464356185264
dbpedia-entity,llm,glob_probe_vs_trunc,20,399,0.6623630330048812,1.7816571580465488,0.6433333333333333,0.8433333333333334,1.2766566560098611,511.95827685994493,666.3090387134379
dbpedia-entity,llm,glob_probe_vs_trunc,30,399,0.6623630330048812,1.7816571580465488,0.7666666666666667,0.8766666666666667,1.3445480057404102,517.2530887059597,719.4996704607906
dbpedia-entity,llm,glob_probe_vs_ad_probe,20,399,0.604846554510467,1.5768875080801898,0.68,0.8466666666666667,1.0623108335825673,363.51260784029876,381.5910510355766
dbpedia-entity,llm,glob_probe_vs_ad_probe,30,399,0.604846554510467,1.5768875080801898,0.8233333333333334,0.8333333333333334,1.0396145889026078,370.0715278860398,386.7147328728063
dbpedia-entity,llm,trunc_vs_ad_probe,20,399,0.6553498232191219,1.7527973486881556,0.49,0.9033333333333333,0.9791916027332144,231.45168196754543,212.88440239970424
dbpedia-entity,llm,trunc_vs_ad_probe,30,399,0.6553498232191219,1.7527973486881556,0.6433333333333333,0.9366666666666666,0.8968169638422663,232.0389542272045,198.6362676501693
