collection,untouched,decision,act_rate,abstain_rate,mean_T,mean_B_pool,wrong_cert_rate
arguana,False,recalibration,0.96,0.04,18.0,1133.74,0.04
arguana,False,selection,0.66,0.34,54.4,3410.56,0.1
climate-fever,True,recalibration,0.78,0.22,66.4,6204.14,0.0
climate-fever,True,selection,0.4,0.6,72.0,6733.04,0.12
dbpedia-entity,False,recalibration,0.74,0.26,64.8,5912.3,0.02
dbpedia-entity,False,selection,0.84,0.16,48.8,4455.8,0.02
fever,True,recalibration,0.16,0.84,86.8,7890.48,0.04
fever,True,selection,0.44,0.56,74.0,6736.6,0.12
fiqa,False,recalibration,0.52,0.48,74.8,6715.06,0.0
fiqa,False,selection,0.34,0.66,76.8,6899.48,0.08
hotpotqa,True,recalibration,0.56,0.44,73.6,7386.6,0.04
hotpotqa,True,selection,0.58,0.42,66.0,6631.28,0.14
nfcorpus,False,recalibration,0.54,0.46,66.8,5775.16,0.06
nfcorpus,False,selection,0.92,0.08,36.4,3137.88,0.02
nq,True,recalibration,0.48,0.52,80.4,6244.66,0.0
nq,True,selection,0.5,0.5,75.2,5856.82,0.06
quora,False,recalibration,0.06,0.94,88.8,6493.86,0.0
quora,False,selection,0.4,0.6,64.0,4675.9,0.06
scidocs,False,recalibration,0.92,0.08,44.8,3668.54,0.0
scidocs,False,selection,0.62,0.38,60.8,4976.84,0.16
scifact,False,recalibration,0.76,0.24,58.8,4912.06,0.0
scifact,False,selection,0.44,0.56,58.8,4923.38,0.36
trec-covid,False,recalibration,0.04,0.96,10.0,909.0,0.02
trec-covid,False,selection,1.0,0.0,10.0,909.0,0.0
webis-touche2020,False,recalibration,0.08,0.92,10.0,739.62,0.0
webis-touche2020,False,selection,0.28,0.72,10.0,739.62,0.04
