collection,repeat_id,decision,final_T,final_B_pool,k_requested,selected_policy,reference_policy,loss,success,param_error,seed
nfcorpus,0,recalibration,10,815,10,ad_probe,ad_c(full_target_scalar_reference),0.00019502785051372928,True,5.479242660124006,733
nfcorpus,0,selection,10,815,10,glob_probe,best_in_menu_on_eval,0.0,True,,733
nfcorpus,1,recalibration,10,830,10,ad_probe,ad_c(full_target_scalar_reference),0.0009074504102618841,True,2.5164838437259185,1733
nfcorpus,1,selection,10,830,10,glob_probe,best_in_menu_on_eval,0.0,True,,1733
nfcorpus,2,recalibration,10,868,10,ad_probe,ad_c(full_target_scalar_reference),0.0018285099237936309,True,6.235335638427955,2733
nfcorpus,2,selection,10,868,10,ad_probe,best_in_menu_on_eval,0.0,True,,2733
nfcorpus,3,recalibration,10,790,10,ad_probe,ad_c(full_target_scalar_reference),0.005941416964716478,False,8.866046029719332,3733
nfcorpus,3,selection,10,790,10,trunc,best_in_menu_on_eval,0.018402056422137686,False,,3733
nfcorpus,4,recalibration,10,904,10,ad_probe,ad_c(full_target_scalar_reference),0.0013799472986298356,True,2.9460016056544287,4733
nfcorpus,4,selection,10,904,10,ad_probe,best_in_menu_on_eval,0.0003990231024821045,True,,4733
nfcorpus,5,recalibration,10,772,10,ad_probe,ad_c(full_target_scalar_reference),0.00028269824119742104,True,0.3593067472234086,5733
nfcorpus,5,selection,10,772,10,glob_probe,best_in_menu_on_eval,0.0,True,,5733
nfcorpus,6,recalibration,10,807,10,ad_probe,ad_c(full_target_scalar_reference),0.002311102838570417,True,2.329516561589049,6733
nfcorpus,6,selection,10,807,10,glob_probe,best_in_menu_on_eval,0.034903093607039484,False,,6733
nfcorpus,7,recalibration,10,800,10,ad_probe,ad_c(full_target_scalar_reference),0.0018862972688216961,True,2.2147224695927044,7733
nfcorpus,7,selection,10,800,10,ad_probe,best_in_menu_on_eval,0.0,True,,7733
nfcorpus,8,recalibration,10,871,10,ad_probe,ad_c(full_target_scalar_reference),0.0002819441629386965,True,1.1717706295793633,8733
nfcorpus,8,selection,10,871,10,ad_probe,best_in_menu_on_eval,0.0,True,,8733
nfcorpus,9,recalibration,10,799,10,ad_probe,ad_c(full_target_scalar_reference),7.948340935623466e-05,True,0.5959131360882104,9733
nfcorpus,9,selection,10,799,10,glob_probe,best_in_menu_on_eval,0.0,True,,9733
nfcorpus,10,recalibration,10,826,10,ad_probe,ad_c(full_target_scalar_reference),0.0016111302766599889,True,4.329996420545122,10733
nfcorpus,10,selection,10,826,10,ad_probe,best_in_menu_on_eval,0.0,True,,10733
nfcorpus,11,recalibration,10,854,10,ad_probe,ad_c(full_target_scalar_reference),0.0008055762891432672,True,2.3457524658016204,11733
nfcorpus,11,selection,10,854,10,ad_probe,best_in_menu_on_eval,0.0014049288893141776,True,,11733
nfcorpus,12,recalibration,10,897,10,ad_probe,ad_c(full_target_scalar_reference),0.00010041373931451991,True,1.2402146556436886,12733
nfcorpus,12,selection,10,897,10,trunc,best_in_menu_on_eval,0.02535286063911163,False,,12733
nfcorpus,13,recalibration,10,865,10,ad_probe,ad_c(full_target_scalar_reference),0.00026825973250055313,True,5.093207192910274,13733
nfcorpus,13,selection,10,865,10,trunc,best_in_menu_on_eval,0.025934826461421867,False,,13733
nfcorpus,14,recalibration,10,873,10,ad_probe,ad_c(full_target_scalar_reference),0.0035128258618508934,True,10.604184918648361,14733
nfcorpus,14,selection,10,873,10,ad_probe,best_in_menu_on_eval,0.004955117313114016,True,,14733
nfcorpus,15,recalibration,10,849,10,ad_probe,ad_c(full_target_scalar_reference),0.0010847358942696617,True,6.05448049370184,15733
nfcorpus,15,selection,10,849,10,glob_probe,best_in_menu_on_eval,0.0,True,,15733
nfcorpus,16,recalibration,10,833,10,ad_probe,ad_c(full_target_scalar_reference),0.0019648198727119925,True,4.365931569888172,16733
nfcorpus,16,selection,10,833,10,glob_probe,best_in_menu_on_eval,4.115827814349382e-05,True,,16733
nfcorpus,17,recalibration,10,753,10,ad_probe,ad_c(full_target_scalar_reference),0.00378679976419391,True,7.922623101216484,17733
nfcorpus,17,selection,10,753,10,ad_probe,best_in_menu_on_eval,0.005187642212047733,True,,17733
nfcorpus,18,recalibration,10,850,10,ad_probe,ad_c(full_target_scalar_reference),0.00027989084040749845,True,2.2475063578887884,18733
nfcorpus,18,selection,10,850,10,glob_probe,best_in_menu_on_eval,0.0,True,,18733
nfcorpus,19,recalibration,10,770,10,ad_probe,ad_c(full_target_scalar_reference),0.003070221885681068,True,4.232856066033406,19733
nfcorpus,19,selection,10,770,10,ad_probe,best_in_menu_on_eval,0.0,True,,19733
nfcorpus,20,recalibration,10,883,10,ad_probe,ad_c(full_target_scalar_reference),0.0004406094851080178,True,0.31395949256514655,20733
nfcorpus,20,selection,10,883,10,glob_probe,best_in_menu_on_eval,0.007949397683402776,True,,20733
nfcorpus,21,recalibration,10,837,10,ad_probe,ad_c(full_target_scalar_reference),3.889960977729312e-05,True,0.7653725551335455,21733
