collection,judge,pair,T,n_queries,judge_acc,rho,true_gap,se_human,se_ppi,ess_gain,theory_gain,lam_mean
trec-covid,llm,glob_probe_vs_trunc,10,50,0.7594237695078031,0.8321064443621883,0.4881026339362681,0.05697027571235019,0.046974173043802414,1.4708837700230677,3.250987285613923,0.6647555280426203
trec-covid,llm,glob_probe_vs_trunc,30,50,0.7594237695078031,0.8321064443621883,0.4881026339362681,0.033577852096129075,0.030144180885119828,1.2407916129718335,3.250987285613923,0.6692670303193773
trec-covid,llm,glob_probe_vs_ad_probe,10,50,0.7594237695078031,0.7317255822837736,0.016193995523809544,0.010725945433833551,0.010111437067177905,1.1252406167999573,2.1524925965485426,0.39130880913899163
trec-covid,llm,glob_probe_vs_ad_probe,30,50,0.7594237695078031,0.7317255822837736,0.016193995523809544,0.0067282680567504445,0.006504263965790679,1.070065235690784,2.1524925965485426,0.5061946490142212
trec-covid,llm,trunc_vs_ad_probe,10,50,0.7594237695078031,0.8359810801359576,-0.47190863841245856,0.05776001539192593,0.047028866740946085,1.5084314314966125,3.3207627668089286,0.710117654982183
trec-covid,llm,trunc_vs_ad_probe,30,50,0.7594237695078031,0.8359810801359576,-0.47190863841245856,0.0337663077510467,0.030234333247286933,1.2472868897795435,3.3207627668089286,0.7006259295805034
webis-touche2020,llm,glob_probe_vs_trunc,10,49,0.7868675995694295,0.8105550543594703,0.049822847875753896,0.028758882049378418,0.02383490304120467,1.4558519753057637,2.9154476123759996,0.5988899959887733
webis-touche2020,llm,glob_probe_vs_trunc,30,49,0.7868675995694295,0.8105550543594703,0.049822847875753896,0.01832948683383782,0.016423903492163272,1.2455117923344439,2.9154476123759996,0.7756533867551186
webis-touche2020,llm,glob_probe_vs_ad_probe,10,49,0.7868675995694295,0.6883861830434793,0.006155759102015275,0.0125266878269563,0.01182848671538627,1.1215383704880453,1.9006909397593013,0.5993512255849186
webis-touche2020,llm,glob_probe_vs_ad_probe,30,49,0.7868675995694295,0.6883861830434793,0.006155759102015275,0.00759265584608392,0.0076728084286462,0.9792164932318729,1.9006909397593013,0.5870900939919932
webis-touche2020,llm,trunc_vs_ad_probe,10,49,0.7868675995694295,0.744002363230016,-0.043667088773738615,0.0252696001675633,0.02154605415932824,1.375502063358834,2.2398398893946956,0.6234828751809857
webis-touche2020,llm,trunc_vs_ad_probe,30,49,0.7868675995694295,0.744002363230016,-0.043667088773738615,0.015491497205321003,0.014469832700746098,1.146198316610888,2.2398398893946956,0.6987775335157571
dbpedia-entity,llm,glob_probe_vs_trunc,10,399,0.7605113498274437,0.6334543838272503,0.05922475115395465,0.06395388809116004,0.05400764082762938,1.4022436815726456,1.6701864632431245,0.6240652178331121
dbpedia-entity,llm,glob_probe_vs_trunc,30,399,0.7605113498274437,0.6334543838272503,0.05922475115395465,0.03713895931056139,0.0303831649836636,1.4941473750520078,1.6701864632431245,0.6699861255881584
dbpedia-entity,llm,glob_probe_vs_trunc,90,399,0.7605113498274437,0.6334543838272503,0.05922475115395465,0.02186061309155531,0.01834303962766678,1.4203064750971737,1.6701864632431245,0.6957978227552283
dbpedia-entity,llm,glob_probe_vs_ad_probe,10,399,0.7605113498274437,0.5341843901990039,0.01485148112080158,0.03321517592795762,0.02965950090620152,1.254138316903729,1.3992921650151384,0.5381410902484978
dbpedia-entity,llm,glob_probe_vs_ad_probe,30,399,0.7605113498274437,0.5341843901990039,0.01485148112080158,0.019533831218897693,0.01730766398108267,1.2737903421908203,1.3992921650151384,0.5440322382308905
dbpedia-entity,llm,glob_probe_vs_ad_probe,90,399,0.7605113498274437,0.5341843901990039,0.01485148112080158,0.011333537796088691,0.010127442797564314,1.2523663698332683,1.3992921650151384,0.5383194700896781
dbpedia-entity,llm,trunc_vs_ad_probe,10,399,0.7605113498274437,0.569288677936671,-0.04437327003315306,0.045543296023124444,0.039542479681468866,1.3265423376335093,1.4794860358183415,0.5795173728871156
dbpedia-entity,llm,trunc_vs_ad_probe,30,399,0.7605113498274437,0.569288677936671,-0.04437327003315306,0.027257333457192744,0.023463039508956885,1.349578623326725,1.4794860358183415,0.6281018283834946
dbpedia-entity,llm,trunc_vs_ad_probe,90,399,0.7605113498274437,0.569288677936671,-0.04437327003315306,0.016183845802476716,0.014180946587337822,1.3024258917970413,1.4794860358183415,0.6411414035137696
