collection,judge,pair,T,n_queries,judge_acc,rho,true_gap,se_human,se_ppi,ess_gain,theory_gain,lam_mean
dl2019,llm,glob_probe_vs_trunc,10,43,0.7474082073434125,0.8832251848979689,0.16462385113072317,0.06905365593451143,0.04253465130208098,2.635649160342941,4.547247137204302,0.852225306398003
dl2019,llm,glob_probe_vs_trunc,20,43,0.7474082073434125,0.8832251848979689,0.16462385113072317,0.04929112691832725,0.037518287451992614,1.7260424865446828,4.547247137204302,0.8739065472829332
dl2019,llm,glob_probe_vs_trunc,30,43,0.7474082073434125,0.8832251848979689,0.16462385113072317,0.04028770935778474,0.035268035759564526,1.3049161490644154,4.547247137204302,0.8744560436096581
dl2019,llm,glob_probe_vs_ad_probe,10,43,0.7474082073434125,0.571058504701956,0.011185338536416066,0.01274991434477682,0.010513564713758208,1.470667685118565,1.4839168986295723,0.5232000224338021
dl2019,llm,glob_probe_vs_ad_probe,20,43,0.7474082073434125,0.571058504701956,0.011185338536416066,0.009239575022753464,0.00833075873891103,1.2300843060093785,1.4839168986295723,0.5317955162139176
dl2019,llm,glob_probe_vs_ad_probe,30,43,0.7474082073434125,0.571058504701956,0.011185338536416066,0.007666208055663576,0.007244349103674963,1.1198567231248513,1.4839168986295723,0.5521444979868568
dl2019,llm,trunc_vs_ad_probe,10,43,0.7474082073434125,0.8678585882177466,-0.15343851259430707,0.06519321174831227,0.04161786686546981,2.4538336688935223,4.051511388085775,0.824224247260415
dl2019,llm,trunc_vs_ad_probe,20,43,0.7474082073434125,0.8678585882177466,-0.15343851259430707,0.04704682008543985,0.0362971290966304,1.680025977325017,4.051511388085775,0.8475391352088358
dl2019,llm,trunc_vs_ad_probe,30,43,0.7474082073434125,0.8678585882177466,-0.15343851259430707,0.038320232397226615,0.033724930172830875,1.2910829628238645,4.051511388085775,0.842424140476593
dl2020,llm,glob_probe_vs_trunc,10,54,0.7678728262778851,0.5610756697613548,0.14287498738635793,0.07524591057548626,0.06139815428283676,1.5019489533196888,1.4594404862874266,0.4963595658569589
dl2020,llm,glob_probe_vs_trunc,20,54,0.7678728262778851,0.5610756697613548,0.14287498738635793,0.05296885140909272,0.04713372434972226,1.2629251040822573,1.4594404862874266,0.4771378063318081
dl2020,llm,glob_probe_vs_trunc,30,54,0.7678728262778851,0.5610756697613548,0.14287498738635793,0.043712358630198705,0.04036049399724105,1.1729933098914886,1.4594404862874266,0.4893893739682884
dl2020,llm,glob_probe_vs_ad_probe,10,54,0.7678728262778851,0.48428650545664326,0.06083545547704475,0.05345770698411984,0.04570635455701452,1.3679413698449867,1.3063927613581583,0.46037589594077843
dl2020,llm,glob_probe_vs_ad_probe,20,54,0.7678728262778851,0.48428650545664326,0.06083545547704475,0.03743368684626131,0.034275250798724,1.1927898181281742,1.3063927613581583,0.45129334933514387
dl2020,llm,glob_probe_vs_ad_probe,30,54,0.7678728262778851,0.48428650545664326,0.06083545547704475,0.030973404437017477,0.02918794152814,1.1260844247841082,1.3063927613581583,0.45659883633043125
dl2020,llm,trunc_vs_ad_probe,10,54,0.7678728262778851,0.755465378374141,-0.08203953190931322,0.04464699126471111,0.030207323085774333,2.1845395581089613,2.3295249990395592,0.5566689659124188
dl2020,llm,trunc_vs_ad_probe,20,54,0.7678728262778851,0.755465378374141,-0.08203953190931322,0.03269156539035995,0.025528356532408935,1.639931545776977,2.3295249990395592,0.6410682775061857
dl2020,llm,trunc_vs_ad_probe,30,54,0.7678728262778851,0.755465378374141,-0.08203953190931322,0.027399074023135905,0.023452269316476,1.3649037462165843,2.3295249990395592,0.6830467898746824
