collection,judge,budget_full_eq,eps,method,act,wrong,var_est
cast19,llm,30,0.01,uniform,0.0033333333333333335,0.0,0.268805574574202
cast19,llm,30,0.01,weighted,0.013333333333333334,0.0,0.06539667485094455
cast19,llm,30,0.01,active_judge,0.006666666666666667,0.0,0.20136104326292864
cast19,llm,30,0.01,strat_pilot,0.03666666666666667,0.0033333333333333335,0.06576434684792114
cast19,llm,30,0.01,weighted_cv,0.02,0.0,0.04280632000755849
cast19,llm,30,0.01,active_cv,0.013333333333333334,0.0,0.10386164970846272
cast19,llm,30,0.02,uniform,0.013333333333333334,0.0,0.2494852192137906
cast19,llm,30,0.02,weighted,0.02666666666666667,0.0,0.06511380075186225
cast19,llm,30,0.02,active_judge,0.01,0.0,0.18749155059345446
cast19,llm,30,0.02,strat_pilot,0.023333333333333334,0.0,0.06590715387642372
cast19,llm,30,0.02,weighted_cv,0.09666666666666666,0.0,0.041323600243451594
cast19,llm,30,0.02,active_cv,0.03666666666666667,0.0,0.0947029631694193
cast19,llm,45,0.01,uniform,0.013333333333333334,0.0,0.19709138497286982
cast19,llm,45,0.01,weighted,0.05333333333333334,0.0,0.05048813770639433
cast19,llm,45,0.01,active_judge,0.013333333333333334,0.0,0.1378411274959919
cast19,llm,45,0.01,strat_pilot,0.05333333333333334,0.0,0.052304066310875724
cast19,llm,45,0.01,weighted_cv,0.07333333333333333,0.0,0.03381137993253905
cast19,llm,45,0.01,active_cv,0.043333333333333335,0.0,0.07076319552983534
cast19,llm,45,0.02,uniform,0.03666666666666667,0.0,0.2108681495072544
cast19,llm,45,0.02,weighted,0.12666666666666668,0.0,0.051944523292158325
cast19,llm,45,0.02,active_judge,0.04,0.0,0.13818214991680844
cast19,llm,45,0.02,strat_pilot,0.14,0.0,0.052626301127115575
cast19,llm,45,0.02,weighted_cv,0.23666666666666666,0.0033333333333333335,0.03512693252446986
cast19,llm,45,0.02,active_cv,0.12666666666666668,0.0,0.07461998722755882
cast19,llm,60,0.01,uniform,0.02,0.0033333333333333335,0.13787727471572506
cast19,llm,60,0.01,weighted,0.1,0.0,0.033361862437912386
cast19,llm,60,0.01,active_judge,0.06666666666666667,0.0,0.06798404763846942
cast19,llm,60,0.01,strat_pilot,0.10333333333333333,0.0,0.033463422411298654
cast19,llm,60,0.01,weighted_cv,0.12,0.0,0.024301304229801163
cast19,llm,60,0.01,active_cv,0.09,0.0,0.04062787189815882
cast19,llm,60,0.02,uniform,0.04666666666666667,0.0,0.13447077766604432
cast19,llm,60,0.02,weighted,0.21666666666666667,0.0,0.032905652650764936
cast19,llm,60,0.02,active_judge,0.11666666666666667,0.0,0.0656827626153797
cast19,llm,60,0.02,strat_pilot,0.24,0.0,0.032532942691181975
cast19,llm,60,0.02,weighted_cv,0.32666666666666666,0.0,0.023287058595844706
cast19,llm,60,0.02,active_cv,0.20333333333333334,0.0,0.03861037415574618
cast19,llm,90,0.01,uniform,0.04666666666666667,0.0033333333333333335,0.07335152779340093
cast19,llm,90,0.01,weighted,0.18666666666666668,0.0,0.019234060772047677
cast19,llm,90,0.01,active_judge,0.13,0.0,0.024519529647913728
cast19,llm,90,0.01,strat_pilot,0.15666666666666668,0.0,0.019125495661874017
cast19,llm,90,0.01,weighted_cv,0.17333333333333334,0.0,0.01603210025709972
cast19,llm,90,0.01,active_cv,0.17333333333333334,0.0,0.018195728417444716
cast19,llm,90,0.02,uniform,0.08666666666666667,0.0,0.07126474711391062
cast19,llm,90,0.02,weighted,0.38666666666666666,0.0,0.01919100385005489
cast19,llm,90,0.02,active_judge,0.27666666666666667,0.0,0.02432879999979471
cast19,llm,90,0.02,strat_pilot,0.36666666666666664,0.0,0.019258157900587245
cast19,llm,90,0.02,weighted_cv,0.42,0.0,0.01618821326759109
cast19,llm,90,0.02,active_cv,0.39666666666666667,0.0,0.018253150927053336
