collection,judge,judge_acc,pair,involves_rr,rho,err_in,err_out,band_frac,bias_diff,true_gap,ess_gain,N,mu_a,mu_b
trec-covid,llm,0.7594237695078031,glob_probe_vs_trunc,False,0.8321064443621883,0.25865703101475457,0.16943127962085308,0.797358943577431,-0.0853199922746546,0.4881026339362681,1.2367519806765217,50,0.8483657967498361,0.36026316281356796
trec-covid,llm,0.7594237695078031,glob_probe_vs_ad_probe,False,0.7317255822837736,0.29336734693877553,0.23509143917307182,0.09411764705882353,-0.02294726247269895,0.016193995523809544,1.0428578834647868,50,0.8483657967498361,0.8321718012260265
trec-covid,llm,0.7594237695078031,glob_probe_vs_rr_thresh,True,0.7546484056060003,0.18927973199329984,0.24915919282511212,0.14333733493397358,-0.009962679992035248,0.0025355152327195605,1.1833161121828328,50,0.8483657967498361,0.8458302815171167
trec-covid,llm,0.7594237695078031,trunc_vs_ad_probe,False,0.8359810801359576,0.25401160805735745,0.2087378640776699,0.7032412965186075,0.062372729801955656,-0.47190863841245856,1.2542118032053091,50,0.36026316281356796,0.8321718012260265
trec-covid,llm,0.7594237695078031,trunc_vs_rr_thresh,True,0.808825536035263,0.26606772633033865,0.18253343823760818,0.6948379351740697,0.07535731228261937,-0.48556711870354863,1.1621212686979048,50,0.36026316281356796,0.8458302815171167
trec-covid,llm,0.7594237695078031,ad_probe_vs_rr_thresh,True,0.8216185205999942,0.23255813953488372,0.24228305183459523,0.17551020408163265,0.012984582480663705,-0.013658480291089983,1.2976258719238152,50,0.8321718012260265,0.8458302815171167
webis-touche2020,llm,0.7868675995694295,glob_probe_vs_trunc,False,0.8059516185410986,0.2604166666666667,0.20768307322929172,0.10333692142088267,-0.018947794251302334,0.049822847875753896,1.2381717505343588,49,0.7378438551144874,0.6880210072387334
webis-touche2020,llm,0.7868675995694295,glob_probe_vs_ad_probe,False,0.6898444372597287,0.18518518518518517,0.2139689578713969,0.02906350914962325,-0.003251193752167058,0.006155759102015275,1.0282880014444018,49,0.7378438551144874,0.7316880960124721
webis-touche2020,llm,0.7868675995694295,glob_probe_vs_rr_thresh,True,0.3067502191940367,0.309255079006772,0.18303886925795054,0.23842841765339073,-0.01657481120487383,0.07546367418494886,0.8249061652679658,49,0.7378438551144874,0.6623801809295387
webis-touche2020,llm,0.7868675995694295,trunc_vs_ad_probe,False,0.7326428144172166,0.25,0.20908004778972522,0.09903121636167922,0.015696600499135276,-0.043667088773738615,1.1428909513996786,49,0.6880210072387334,0.7316880960124721
webis-touche2020,llm,0.7868675995694295,trunc_vs_rr_thresh,True,0.33045496600555707,0.27634194831013914,0.1896678966789668,0.2707212055974166,0.0023729830464285047,0.025640826309194967,0.8541436291660237,49,0.6880210072387334,0.6623801809295387
webis-touche2020,llm,0.7868675995694295,ad_probe_vs_rr_thresh,True,0.2824317363931016,0.2979214780600462,0.18736842105263157,0.23304628632938643,-0.013323617452706773,0.06930791508293359,0.7845756364185226,49,0.7316880960124721,0.6623801809295387
dbpedia-entity,llm,0.7605113498274437,glob_probe_vs_trunc,False,0.6334543838272503,0.25435258849302433,0.22971718024482904,0.4227020177405205,-0.023471392108710704,0.05922475115395465,1.4610222439842877,399,0.4683993823433166,0.40917463118936226
dbpedia-entity,llm,0.7605113498274437,glob_probe_vs_ad_probe,False,0.5341843901990039,0.24624472573839662,0.23764818748715139,0.28877083536407055,-0.0046457682217273776,0.01485148112080158,1.2771280226823023,399,0.4683993823433166,0.4535479012225147
dbpedia-entity,llm,0.7605113498274437,glob_probe_vs_rr_thresh,True,0.5114366766000551,0.1954421974041654,0.2614454362222862,0.32293595867043573,-0.036005399239613475,-0.057758896280798035,1.1943887526436432,399,0.4683993823433166,0.5261582786241147
dbpedia-entity,llm,0.7605113498274437,trunc_vs_ad_probe,False,0.569288677936671,0.2939826619071902,0.22740419378163412,0.1911492348182084,0.018825623886983323,-0.04437327003315306,1.327579077665325,399,0.40917463118936226,0.4535479012225147
dbpedia-entity,llm,0.7605113498274437,trunc_vs_rr_thresh,True,0.5910986844554678,0.3089832181638697,0.20376852610411858,0.34559898625597035,-0.01253400713090278,-0.11698364743475266,1.3473241697272114,399,0.40917463118936226,0.5261582786241147
dbpedia-entity,llm,0.7605113498274437,ad_probe_vs_rr_thresh,True,0.5027780336037216,0.2795632784868522,0.22183374955404922,0.3169412223413588,-0.0313596310178861,-0.0726103774015996,1.176808454166029,399,0.4535479012225147,0.5261582786241147
