collection,judge,budget_full_eq,eps,method,act,wrong
dbpedia-entity,llm,30,0.01,human_full,0.03333333333333333,0.006666666666666667
dbpedia-entity,llm,30,0.01,human_weighted,0.06666666666666667,0.01
dbpedia-entity,llm,30,0.01,judge_ppi,0.06666666666666667,0.006666666666666667
dbpedia-entity,llm,30,0.01,weighted_cv,0.09666666666666666,0.006666666666666667
dbpedia-entity,llm,30,0.02,human_full,0.07,0.0
dbpedia-entity,llm,30,0.02,human_weighted,0.08333333333333333,0.0
dbpedia-entity,llm,30,0.02,judge_ppi,0.10333333333333333,0.0
dbpedia-entity,llm,30,0.02,weighted_cv,0.12,0.0
dbpedia-entity,llm,30,0.05,human_full,0.31666666666666665,0.0
dbpedia-entity,llm,30,0.05,human_weighted,0.37,0.0
dbpedia-entity,llm,30,0.05,judge_ppi,0.38666666666666666,0.0
dbpedia-entity,llm,30,0.05,weighted_cv,0.47333333333333333,0.0
dbpedia-entity,llm,60,0.01,human_full,0.15666666666666668,0.0033333333333333335
dbpedia-entity,llm,60,0.01,human_weighted,0.21333333333333335,0.0
dbpedia-entity,llm,60,0.01,judge_ppi,0.22,0.0
dbpedia-entity,llm,60,0.01,weighted_cv,0.31666666666666665,0.0
dbpedia-entity,llm,60,0.02,human_full,0.31333333333333335,0.0
dbpedia-entity,llm,60,0.02,human_weighted,0.4166666666666667,0.0
dbpedia-entity,llm,60,0.02,judge_ppi,0.43666666666666665,0.0
dbpedia-entity,llm,60,0.02,weighted_cv,0.5166666666666667,0.0
dbpedia-entity,llm,60,0.05,human_full,0.67,0.0
dbpedia-entity,llm,60,0.05,human_weighted,0.8266666666666667,0.0
dbpedia-entity,llm,60,0.05,judge_ppi,0.8266666666666667,0.0
dbpedia-entity,llm,60,0.05,weighted_cv,0.8966666666666666,0.0
dbpedia-entity,llm,90,0.01,human_full,0.28,0.0033333333333333335
dbpedia-entity,llm,90,0.01,human_weighted,0.37,0.0
dbpedia-entity,llm,90,0.01,judge_ppi,0.38666666666666666,0.0
dbpedia-entity,llm,90,0.01,weighted_cv,0.44,0.0
dbpedia-entity,llm,90,0.02,human_full,0.43333333333333335,0.0033333333333333335
dbpedia-entity,llm,90,0.02,human_weighted,0.5766666666666667,0.0
dbpedia-entity,llm,90,0.02,judge_ppi,0.5566666666666666,0.0033333333333333335
dbpedia-entity,llm,90,0.02,weighted_cv,0.6633333333333333,0.0
dbpedia-entity,llm,90,0.05,human_full,0.8333333333333334,0.0
dbpedia-entity,llm,90,0.05,human_weighted,0.9433333333333334,0.0
dbpedia-entity,llm,90,0.05,judge_ppi,0.9366666666666666,0.0
dbpedia-entity,llm,90,0.05,weighted_cv,0.95,0.0
